RowHeader|Beta
ai001823.01|-1.02459084346703277468
ai001823.02|0.04939498523961977083
ai001837.01|-0.67169148948731982607
ai001860.01|-1.59086867668633491490
ai001864.01|-1.16984813047271418718
ai001878.01|-1.97007598518327675663
ai001891.01|-0.88865123149581459749
ai001906.01|-1.62780271386914998644
ai001913.01|-0.93203201713023786645
ai001919.01|-1.46153928947594491383
ai001920.01|-0.90834147714826651843
ai001926.01|-1.14213423293992333285
ai001932.01|-0.35969400422141412088
ai001932.90|-0.59426595199170617612
ai001949.01|-0.08833492706490167490
ai001951.01|-0.85333568649844593335
ai001968.01|-1.16612949320057746050
ai001974.01|-0.81619548873581149184
ai001976.01|-1.60087435303143976739
ai001979.01|-0.98188931960552205958
ai001982.02|-0.80968217889236360207
ai001988.01|-0.83723856430939214146
ai001995.11|-0.05695998302362768190
ai002002.01|-1.53993244339917145780
ai002002.03|-0.08076020557020527346
ai002002.04|-0.14135478529132677883
ai002005.01|-1.02322807794397596659
ai002019.01|-1.41733138589714968703
ai002019.04|-0.28976240719174123361
ai002025.01|-0.96891244306976953560
ai002025.06|-0.05166945947038315001
ai002044.01|-0.65054787034448580130
ai002049.01|-1.23609416986560294305
ai002052.01|-0.87736059217526496390
ai002055.01|-0.68971924382279470311
ai002061.01|-1.14041775865670125256
ai002073.01|-0.77415231442865650724
ai002080.01|-0.55085849286414401149
ai002086.01|-0.84451610664181198107
ai002101.02|-1.36154216202750077969
ai002111.01|-0.66582985176200537580
ai002113.01|0.16612900627248231022
ai002124.01|-1.43327165032444581172
ai002124.03|-1.85512933841177130034
ai002136.01|-0.50489402003312422451
ai002137.01|-0.43518616578744279133
ai002138.01|-0.70002016286484647356
ai002150.01|-2.01238155051438738496
ai002154.01|-0.58332251224529529932
ai002176.01|-0.66011127457018403675
ai002176.02|-0.73153209453831935516
ai002184.01|-0.91062551796558222073
ai002220.01|-0.71768462734208227083
ai002222.01|-2.35998687909033622034
ai002237.01|1.54218081030895826089
ai002240.01|0.52627437851999459006
ai002259.01|-0.61069018418963583184
ai002269.01|-0.75002633202074964203
ai002270.01|-1.32331653063269083503
ai002271.01|-1.19478870291819871952
ai002282.01|-1.10079060048428623020
ai002285.01|-1.15683993928466488654
ai002290.01|-1.60010390045211714494
ai002295.01|-1.03928987644289261283
ai002312.01|-1.58411371733415307084
ai002337.05|-0.91634923420379310599
ai002338.90|-0.81798244342359283099
ai002340.01|0.60197972497811003123
ai002352.01|-1.29096790913057568595
ai002369.01|-0.95650398961732907566
ai002381.01|0.08269261022428137098
ai002390.01|0.13982141388757510225
ai002393.01|-1.38827290646826506659
ai002402.02|-3.27137537626378094302
ai002403.01|-0.39565870153859672431
ai002410.90|-1.35035098420595112145
ai002411.90|-0.97896092008506307991
ai002435.01|-0.67595905004627243606
ai002435.02|-0.54021034396503120334
ai002436.01|-1.72692562962300666385
ai002444.01|-1.90919884161102104692
ai002448.01|-1.89955025395735632721
ai002467.01|-0.35534653547986350119
ai002497.01|-1.47965882198456899488
ai002504.01|-2.33414819003463014369
ai002504.03|-1.53030652653602672331
ai002526.01|-1.13805486649011733391
ai002536.01|-1.20657634592739659851
ai002538.01|-1.53292205799772673913
ai002547.01|-1.08088651825665138517
ai002555.01|0.34902535631663200721
ai002556.01|-1.01369250663146059921
ai002558.01|-1.03488596321847281523
ai002573.01|-0.52536953122957974482
ai002574.01|-1.27680531017282272721
ai002577.01|-1.57338032880113742884
ai002581.01|-1.12463073242721023348
ai002586.01|-0.63268414492284319461
ai002593.01|-1.74832303752196160929
ai002595.01|0.75030591460944839888
ai002596.01|-1.21383082451406743019
ai002615.01|-0.48073030649276349280
ai002628.01|-0.49634512294621502271
ai002644.01|-0.29441096836512026247
ai002662.01|0.40970130055135278724
ai002663.01|-0.23637720617738700035
ai002675.01|-1.00280201121611001192
ai002696.01|-0.91545360383553608941
ai002697.01|-1.34909601293552716683
ai002697.05|-0.06869653838201708607
ai002698.01|-1.12492904374344293572
ai002703.01|-0.54419034979674774100
ai002710.01|-0.60841988169733729475
ai002710.02|-0.73075292613714060153
ai002721.90|-0.62831304499780060713
ai002751.01|-0.68592171344929686594
ai002771.01|-1.57433986795901925682
ai002787.01|-1.88390738825153891689
ai002802.01|-1.51342625503273531251
ai002807.01|-0.82782494539671513945
ai002811.01|-1.86086056306777214431
ai002812.02|-1.23919121430642298343
ai002817.01|-1.51305990198995909957
ai002818.01|-1.14422399013396147716
ai002820.02|-1.77165050861656103720
ai002829.01|-0.63780026781452958673
ai002831.01|0.41778807853964111674
ai002851.01|-7.05112865382079778698
ai002856.01|-0.46235546914580361033
ai002859.01|-0.56864767194600673861
ai002884.01|-0.79076978389449470441
ai002903.01|4.55878959246923631810
ai002940.03|-0.83868570369741746173
ai002942.01|-1.38656881245710428274
ai002951.01|-1.05427198837013946786
ai002953.01|-1.64722242174806887682
ai002960.01|-1.05481738226702592698
ai002968.01|-1.39466459833524258904
ai002968.21|-0.05875818043436416283
ai002968.54|-1.79054249118551966902
ai002968.57|-0.08875778717475074631
ai002986.01|-0.44060844652297309620
ai002990.01|-1.10658614285406198263
ai002991.01|-1.07146611733078422901
ai002999.01|-0.09944944045316922443
ai003007.01|-0.87515743552700531183
ai003024.01|-0.56604553909080468355
ai003026.01|-0.27750501578608349762
ai003028.01|-0.75713056463509365024
ai003031.01|-0.19193330799580871071
ai003036.01|-1.27751653523864261430
ai003036.03|-0.25765666418497323864
ai003062.01|-1.14849010064018863808
ai003071.01|-1.43297304250845747298
ai003082.01|-1.26790930196395179586
ai003082.02|0.01762108766184395520
ai003093.01|-0.98852722797530423460
ai003105.02|-0.62454675051265351460
ai003107.01|-2.33993405972335555276
ai003121.01|-0.35062886184132258105
ai003129.01|-0.39554249378611638921
ai003134.01|4.26233686283031598663
ai003138.01|-0.50781937369410390382
ai003144.01|-0.53641334542878804648
ai003153.01|-1.63014314824963424400
ai003156.01|0.93431007003509725095
ai003157.01|-1.58334520792685884416
ai003158.01|-1.35438772499866000310
ai003170.01|-0.37661268271248249384
ai003184.01|0.67534784405240755323
ai003184.02|-1.02320338772922259096
ai003203.01|-1.34967273545653632105
ai003218.01|1.21197121440540245274
ai003221.01|-0.75666341102995826606
ai003226.01|-1.09816682399360088240
ai003226.02|-1.05012115866812516529
