AIID|DataDate|PeriodName|PeriodEndDate|DataDate_PeriodData|LastReportDate|LastYearDate|LastQuarterDate|SecurityId|SmartEst_BPS|SmartEst_CPS|SmartEst_CPX|SmartEst_CSH|SmartEst_DPS|SmartEst_EBG|SmartEst_EBI|SmartEst_EBT|SmartEst_EPS|SmartEst_FFO|SmartEst_GM|SmartEst_GPS|SmartEst_NAV|SmartEst_NDT|SmartEst_NET|SmartEst_OPR|SmartEst_PRE|SmartEst_REV|SmartEst_ROA|SmartEst_ROE|StndDeviation_BPS|StndDeviation_CPS|StndDeviation_CPX|StndDeviation_CSH|StndDeviation_DPS|StndDeviation_EBG|StndDeviation_EBI|StndDeviation_EBT|StndDeviation_EPS|StndDeviation_FFO|StndDeviation_GM|StndDeviation_GPS|StndDeviation_NAV|StndDeviation_NDT|StndDeviation_NET|StndDeviation_OPR|StndDeviation_PRE|StndDeviation_REV|StndDeviation_ROA|StndDeviation_ROE|SmartEstAnalyst_BPS|SmartEstAnalyst_CPS|SmartEstAnalyst_CPX|SmartEstAnalyst_CSH|SmartEstAnalyst_DPS|SmartEstAnalyst_EBG|SmartEstAnalyst_EBI|SmartEstAnalyst_EBT|SmartEstAnalyst_EPS|SmartEstAnalyst_FFO|SmartEstAnalyst_GM|SmartEstAnalyst_GPS|SmartEstAnalyst_NAV|SmartEstAnalyst_NDT|SmartEstAnalyst_NET|SmartEstAnalyst_OPR|SmartEstAnalyst_PRE|SmartEstAnalyst_REV|SmartEstAnalyst_ROA|SmartEstAnalyst_ROE|ExpFY1ReportDate|ExpFQ1ReportDate
ai001072.01|20170131|FY1|20170331|2017-01-31|20170124|20160331|20161231|17281|NA|NA|1.5e+07|NA|0.43|NA|164200000|205800000|0.76|NA|21.6|0.74|NA|NA|1.26e+08|NA|175300000|1308400000|5.4|5.4|NA|NA|NA|NA|NA|NA|NA|NA|0.01|NA|NA|NA|NA|NA|NA|NA|NA|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|NA|NA|NA|NA|NA|NA|NA|NA|1|NA|NA|20170424|20170424
ai001072.01|20170131|FY2|20180331|2017-01-31|20170124|20160331|20161231|17281|NA|NA|NA|NA|0.43|NA|175500000|220200000|0.75|NA|23.5|0.79|NA|NA|132100000|NA|183500000|1244100000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|0.05|NA|NA|NA|NA|NA|NA|NA|NA|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|NA|NA|NA|NA|NA|NA|NA|NA|1|NA|NA|20170424|20170424
ai001072.01|20170131|FY3|20190331|2017-01-31|20170124|20160331|20161231|17281|NA|NA|NA|NA|0.48|NA|NA|NA|0.66|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20170424|20170424
ai001075.01|20170131|FQ1|20161231|2016-11-03|20161103|20151231|20160930|1974|NA|-0.04|NA|NA|NA|NA|137800000|268730000|0.48|NA|56.44|0.46|NA|NA|51720000|NA|87330000|763270000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|NA|NA|NA|NA|NA|NA|NA|NA|4|NA|NA|20170219|20170219
ai001075.01|20170131|FQ2|20170331|2016-11-03|20161103|20151231|20160930|1974|NA|0.86|NA|NA|NA|NA|53950000|186620000|0.15|NA|NA|-0.02|NA|NA|-2510000|NA|1.8e+07|698130000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|4|NA|NA|NA|NA|NA|NA|NA|NA|3|NA|NA|20170219|20170219
ai001075.01|20170131|FQ3|20170630|2016-11-03|20161103|20151231|20160930|1974|NA|2.85|NA|NA|NA|NA|251250000|379780000|1.12|NA|NA|1.12|NA|NA|124450000|NA|1.9e+08|921850000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20170219|20170219
ai001075.01|20170131|FQ4|20170930|2016-11-03|20161103|20151231|20160930|1974|NA|5.11|NA|NA|NA|NA|502710000|642150000|2.46|NA|NA|2.56|NA|NA|284410000|NA|4.35e+08|1227570000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20170219|20170219
ai001075.01|20170131|FY1|20161231|2016-11-03|20161103|20151231|20160930|1974|42.71|8.66|1.233e+09|NA|2.56|NA|866490000|1350720000|3.95|NA|66.76|3.94|4838220000|3919130000|442940000|NA|694890000|3542470000|3.1|9.58|NA|NA|NA|NA|NA|NA|NA|NA|0.01|NA|NA|NA|NA|NA|NA|NA|NA|0.01|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|14|NA|NA|NA|NA|NA|NA|NA|NA|12|NA|NA|20170219|20170219
ai001075.01|20170131|FY2|20171231|2016-11-03|20161103|20151231|20160930|1974|44.3|9.98|1.337e+09|NA|2.66|NA|927690000|1453820000|4.22|NA|67.58|4.2|5027010000|4415870000|473620000|NA|734750000|3680090000|NA|9.73|NA|NA|NA|NA|NA|NA|NA|NA|0.01|NA|NA|NA|NA|NA|NA|NA|NA|0.03|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|8|NA|NA|NA|NA|NA|NA|NA|NA|10|NA|NA|20170219|20170219
ai001075.01|20170131|FY3|20181231|2016-11-03|20161103|20151231|20160930|1974|46.02|8.54|1.124e+09|NA|2.78|NA|970500000|1518600000|4.45|NA|68.39|4.47|5207870000|4370420000|501840000|NA|756700000|3732600000|3.2|10.06|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20170219|20170219
